formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Cd11La1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1201591
Cd1Mo6S8,1.8,Chevrel,R -3,-3,NM,CANDIDATE,mp-1104677
Cd1Mo6Se8,2.4,Chevrel,R -3,-3,NM,CANDIDATE,mp-1103966
Cd1O1,0.0,Oxide,F m -3 m,m-3m,NM,CANDIDATE,mp-1132
Cd1Sn1,3.65,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1183726
Cd1V3,0.0,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-568564
Cd2Os2O7,0.0,Oxide,F d -3 m,m-3m,FM,CANDIDATE,mp-5950
Cd2Re2O7,1.102857143,Oxide,F d -3 m,m-3m,FM,CANDIDATE,mp-16783
Cd6Na1,0.0,Other,P m -3,m-3,NM,CANDIDATE,mp-1203422
Ce0.001La0.999Pt1Si1,1.765,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1206485
Ce0.016La0.984Sn3,4.33,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-633
Ce0.01Cu1Nd1.99O4,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4158
Ce0.025Ru2Si2U0.975,0.0,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3388
Ce0.04Cu1Pr1.96O4,23.6,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4181
Ce0.05Ge12Pr0.95Pt4,5.75,Heavy_fermion,I m -3,m-3,NM,CANDIDATE,mp-1105939
Ce0.05La0.95P12Ru4,6.8,Other,I m -3,m-3,NM,CANDIDATE,mp-15727
Ce0.05La0.95Ru2,3.616,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2019
Ce0.06Cu1Sm1.94O4,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4210
Ce0.15Cu1Eu1.85O4,7.75,Cuprate,I 4/m m m,4/mmm,FiM,EXCLUDED,mp-22306
Ce0.15Cu1Gd1.85O4,0.0,Cuprate,P 1 21/c 1,2/m,FM,EXCLUDED,mp-676060
