formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Mo3Sn1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30788
Mo3Te3Tl1,5.84,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-16096
Mo3Te4,0.0,Chevrel,R -3,-3,NM,CANDIDATE,mp-8601
Mo3Zr1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30790
Mo4Re2Te8,3.5,Chevrel,P 1,1,NM,EXCLUDED,mp-1219145
Mo4Ru2Se8,0.0,Chevrel,P -1,-1,NM,EXCLUDED,mp-1221499
Mo4Ru2Te8,0.0,Chevrel,P 1,1,NM,EXCLUDED,mp-1217418
Mo5.8Ru0.2Se8,6.21,Chevrel,R -3,-3,NM,CANDIDATE,mp-21021
Mo5O2,0.0,Oxide,F m -3 m,m-3m,FM,CANDIDATE,mp-1221492
Mo6Na2Se6,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-1186069
Mo6Nd1S8,3.5,Chevrel,R -3,-3,NM,CANDIDATE,mp-1103989
Mo6Pb0.1Se8Yb0.9,6.3,Heavy_fermionChevrel,R -3,-3,NM,CANDIDATE,mp-1103921
Mo6Pb0.7Se8Yb0.3,10.2,Chevrel,R -3,-3,NM,CANDIDATE,mp-22721
Mo6Pb1S4Se4,3.2,Chevrel,P 1,1,NM,EXCLUDED,mp-1221608
Mo6Pb1S8,12.45,Chevrel,R -3,-3,NM,CANDIDATE,mp-555066
Mo6Pr1S8,2.55,Heavy_fermionChevrel,R -3,-3,NM,CANDIDATE,mp-1104449
Mo6Rb2Se6,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-1103685
Mo6S8,1.8,Chevrel,R -3,-3,NM,CANDIDATE,mp-2164
Mo6S8Sn0.875,14.048,Chevrel,R -3,-3,NM,CANDIDATE,mp-5336
Mo6S8Yb1,8.45,Heavy_fermionChevrel,R -3,-3,NM,CANDIDATE,mp-2945
Mo6Se6Tl2,2.2875,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-3411
Mo6Se8Sn1,3.4,Chevrel,R -3,-3,NM,CANDIDATE,mp-1104129
Mo6Se8Y1,6.38,Chevrel,R -3,-3,NM,CANDIDATE,mp-1103848
Mo8P5,5.8,Other,P 1 m 1,m,NM,EXCLUDED,mp-27413
N0.48Nb1,5.5,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1220726
N0.62Pt0.38,4.21,Other,P a -3,m-3,NM,CANDIDATE,mp-1095618
N0.6Ti1,1.17,Other,R -3 c,-3m,NM,CANDIDATE,mp-1187591
N0.75V1,2.3,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1018027
N0.84Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-492
N0.906Zr1,1.5,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1352
N0.97Sc1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2857
N0.97W1,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-991
N0.98Pr1,0.0,Heavy_fermion,F m -3 m,m-3m,NM,CANDIDATE,mp-343
N1.07Nb1,14.4,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-7234
N1Ni3Zn1,3.0,Ferrite,P m -3 m,m-3m,NM,CANDIDATE,mp-1069270
N1S1,0.2175,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-235
N1Se1,0.0,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-542635
N1Ta2,0.0,Other,P -3 1 m,-3m,NM,CANDIDATE,mp-1079438
N1Th1,3.3,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-834
N1U1,0.0,Heavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-1865
N1W2,0.0,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-27943
N1Y1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2114
N4Th3,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-467
Na0.1W1O3,0.0,Oxide,R -3,-3,NM,CANDIDATE,mp-756681
Na0.23W1O3,2.16,Oxide,P -3 m 1,-3m,FM,CANDIDATE,mp-1221403
Na0.28Pb0.72,7.2,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20555
Na0.33V2O5,7.666666667,Oxide,P -1,-1,FM,EXCLUDED,mp-757364
Na0.3W1O3,0.0,Oxide,P 1 2/m 1,2/m,FM,EXCLUDED,mp-36529
Na0.5Nb1S2,1.3,Other,P 3 m 1,3m,NM,CANDIDATE,mp-1221395
Na1Te1,0.0,Other,P b c n,mmm,NM,EXCLUDED,mp-28353
Na2Sb2Ti2O1,0.0,Oxide,I 4/m m m,4/mmm,NM,EXCLUDED,mp-6328
Na3Sb1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-7956
Nb0.18U0.82,2.011,Heavy_fermion,P 63/m m c,6/mmm,NM,CANDIDATE,mp-972551
Nb0.22Ti0.8,7.8,Other,A m m 2,mm2,NM,EXCLUDED,mp-1217091
Nb0.44Ti0.56,8.99,Other,C m m m,mmm,NM,EXCLUDED,mp-1216634
Nb0.45Re0.55,6.2,Other,C m m m,mmm,NM,EXCLUDED,mp-1220322
Nb0.47Ta0.53,6.2,Other,C m m m,mmm,NM,EXCLUDED,mp-1217892
Nb0.48Rh0.52,3.76,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1963
Nb0.55V0.45,4.11,Other,C m m m,mmm,NM,EXCLUDED,mp-1220334
Nb0.65Pd0.35,1.84,Other,F m m m,mmm,NM,EXCLUDED,mp-1220678
Nb0.69Tc0.31,0.0,Other,F m m m,mmm,NM,EXCLUDED,mp-1220634
Nb0.6Ru0.4,0.6,Other,F m m m,mmm,NM,EXCLUDED,mp-1220677
Nb0.75Si0.25,9.0,Other,P 42/n,4/m,NM,EXCLUDED,mp-17848
Nb0.79Si0.21,9.3,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-10229
Nb0.8Pd0.2,1.98,Other,F m m m,mmm,NM,EXCLUDED,mp-1220401
Nb1,8.9976875,Other,P 1,1,NM,EXCLUDED,mp-1094120
Nb1.3Rh2.7,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2449
Nb1Ni2Sn1,3.15,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3504
Nb1O1,1.38,Oxide,P m -3 m,m-3m,NM,CANDIDATE,mp-2311
Nb1O2,0.0,Oxide,I 41/a,4/m,NM,EXCLUDED,mp-557057
Nb1P1Rh1,4.25,Other,P n m a,mmm,NM,EXCLUDED,mp-1101948
Nb1P1Ru1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1103310
Nb1P1S1,12.5,Other,I m m m,mmm,NM,EXCLUDED,mp-27471
Nb1P1Se1,0.0,Other,I m m m,mmm,NM,EXCLUDED,mp-7524
Nb1Pt1,0.0,Other,P m m a,mmm,NM,EXCLUDED,mp-999376
Nb1Pt1Si1,1.24,Other,P n m a,mmm,NM,EXCLUDED,mp-10469
Nb1Pt2,0.0,Other,I m m m,mmm,NM,EXCLUDED,mp-11514
Nb1Re1Si1,5.1,Other,I m a 2,mm2,NM,EXCLUDED,mp-1189470
Nb1Rh3,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1191559
Nb1Ru1Si1,2.65,Other,I m a 2,mm2,NM,EXCLUDED,mp-1188541
Nb1Ru3,13.5,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11517
Nb1S0.899,3.83,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-647
Nb1S2,5.821818182,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-10033
Nb1S3,0.0,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1190583
Nb1Sb2,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1969
Nb1Sc1,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-973229
Nb1Se2,6.814619048,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-571133
Nb1Se2.2,6.675,Other,R 3 m,3m,FM,CANDIDATE,mp-7597
Nb1Se3,3.736666667,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-525
Nb1Si2,0.0,Other,P 64 2 2,622,NM,EXCLUDED,mp-12104
Nb1Si2,0.0,Other,P 62 2 2,622,NM,EXCLUDED,mp-2478
Nb1Sn2,2.64,Other,F d d d,mmm,NM,EXCLUDED,mp-1046
Nb1Sn3,18.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186237
Nb1Sr0.75O3,0.0,Oxide,P n m a,mmm,NM,EXCLUDED,mp-10339
Nb1Te2,0.5,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-11675
Nb1Te4,0.0,Other,P 4/n c c,4/mmm,NM,EXCLUDED,mp-568220
Nb1Zn3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-953
Nb2Pd1S5,6.125,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1106085
Nb2Se3,2.3,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-561
Nb2Si1,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1078996
Nb3Os0.7Rh0.3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1932
Nb3Os2,1.81,Other,C m m 2,mm2,NM,EXCLUDED,mp-1220934
Nb3P1,2.0,Other,P 42/n,4/m,NM,EXCLUDED,mp-505528
Nb3Pb1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-22068
Nb3Pt0.7Rh0.3,7.4,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2663
Nb3S4,3.81,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-12627
Nb3Sb0.75Sn0.25,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2053
Nb3Si0.5Sn0.5,8.3,Other,P m -3,m-3,NM,CANDIDATE,mp-1220364
Nb3Te1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-570751
Nb3Te4,1.746666667,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-7564
Nb4Ni1Si1,7.7,Other,P 4/m c c,4/mmm,NM,EXCLUDED,mp-22396
Nb50Zr50,10.161,Other,C m m m,mmm,NM,EXCLUDED,mp-1215202
Nb5Sb4,8.6,Other,I 4/m,4/m,NM,EXCLUDED,mp-274
Nb5Si3,0.345,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-13686
Nb5Te4,0.0,Other,I 4/m,4/m,NM,EXCLUDED,mp-30797
Nb6Ni16Si7,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3640
Nb6Sn5,2.435,Other,I m m m,mmm,NM,EXCLUDED,mp-1192223
Nd0.8Os4Pr0.2Sb12,0.0,Other,I m -3,m-3,NM,CANDIDATE,mp-3569
Nd1P2Pd2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1206126
Nd1Pt1Si1,0.0,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1077762
Nd1Pt2Si2,0.0,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1084815
Nd1Ru2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102217
Nd1Ru4Sb12,0.0,Other,I m -3,m-3,NM,CANDIDATE,mp-1189354
Nd1Si2,0.0,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-884
Nd2Ni1O4,0.0,Oxide,P 42/n c m,4/mmm,FM,EXCLUDED,mp-505052
Nd2Rh3Si5,0.0,Other,I b a m,mmm,NM,EXCLUDED,mp-1209907
Nd2S3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-438
Ni0.02S2Ta1,3.325,Ferrite,P -3 m 1,-3m,FM,CANDIDATE,mp-1218136
Ni0.05Pd0.95Te2,1.4,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-782
Ni0.1Si1.9Sr1,2.3,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-1727
Ni0.3Th0.7,1.9775,Other,P 63 m c,6mm,NM,CANDIDATE,mp-30809
Ni0.5Si1.5Sr1,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1218730
Ni1.5V0.5Zr1,0.43,Other,R -3 m,-3m,FM,CANDIDATE,mp-1215561
Ni16Sc6Si7,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-5382
Ni16Si7Ta6,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-4502
Ni16Si7Ti6,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3337
Ni17Zr83,3.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1207489
Ni1O1,0.0,Oxide,F m -3 m,m-3m,AFM,CANDIDATE,mp-19009
Ni1P1,0.0,Ferrite,P b c a,mmm,NM,EXCLUDED,mp-27844
Ni1P3,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-2301
Ni1Pr2O4,0.0,OxideHeavy_fermion,P 42/n c m,4/mmm,FM,EXCLUDED,mp-505093
Ni1Pr3,0.0,Heavy_fermion,P n m a,mmm,NM,EXCLUDED,mp-1106122
Ni1S1,0.0,Ferrite,F d -3 m,m-3m,NM,CANDIDATE,mp-1050
Ni1Sb1,0.0,Ferrite,P 63/m m c,6/mmm,NM,CANDIDATE,mp-810
Ni1Sb3,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-1106023
Ni1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-351
Ni1Si2,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2291
Ni1Sm1,1.6,Other,C m c m,mmm,NM,EXCLUDED,mp-999145
Ni1Ta2,0.9,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1867
Ni1Tb3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-623751
Ni1Te1,0.0,Ferrite,R -3 m,-3m,NM,CANDIDATE,mp-10264
Ni1Te2,0.0,Ferrite,P -3 m 1,-3m,NM,CANDIDATE,mp-2578
Ni1Ti1,0.0,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1048
Ni1U6,0.54,Heavy_fermion,I 4/m c m,4/mmm,NM,EXCLUDED,mp-636821
Ni1Zr3,3.35,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1188073
Ni2P1,0.0,Ferrite,P -6 2 m,-62m,NM,CANDIDATE,mp-21167
Ni2P2Sc2Sr4O6,3.525,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1189201
Ni2P2Sr1,1.415,Ferrite,I m m m,mmm,NM,EXCLUDED,mp-29167
Ni2Se2Tl1,3.7,Ferrite,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4354
Ni2Sn1Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3740
Ni2Sn1V1,0.0,Other,F m -3 m,m-3m,FM,CANDIDATE,mp-20864
Ni2Zn11,0.0,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-11532
Ni3P1,0.0,Ferrite,I -4,-4,NM,EXCLUDED,mp-2296
Ni45Zr55,2.0,Other,C m c m,mmm,NM,EXCLUDED,mp-556
Ni4P2Zr1,0.0,Ferrite,P 42/m n m,4/mmm,NM,EXCLUDED,mp-505598
O2,0.65,Oxide,C 1 2/m 1,2/m,NM,EXCLUDED,mp-12957
Os0.232Re0.768,1.67,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-867264
Os0.2Rh0.8,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186377
Os0.432Re0.568,1.18,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1219509
Os0.55V0.45,5.04,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-12778
Os0.74W0.26,4.4,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186374
Os0.7Re0.3,0.8,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-867141
Os10,0.5641666665,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-49
Os1P1Ti1,0.0,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-1095128
Os1P1Zr1,5.3525,Other,P n m a,mmm,NM,EXCLUDED,mp-1102976
Os1Si1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-2488
Os1Si1Ti1,0.0,Other,I m a 2,mm2,NM,EXCLUDED,mp-1105654
Os1Si1Zr1,1.72,Other,P n m a,mmm,NM,EXCLUDED,mp-1103293
Os1Ti1,0.46,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-291
Os2P2Sr1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-569310
Os2Rb1O6,6.318,Oxide,F d -3 m,m-3m,NM,CANDIDATE,mp-5050
Os2Sc1,4.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-567612
Os2Si2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3166
Os2Si2Y1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-567749
Os2U1,0.0,Heavy_fermion,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102439
Os2Y1,4.7,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-570670
Os2Zr1,2.95,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-570684
Os3Th7,1.51,Other,P 63 m c,6mm,NM,CANDIDATE,mp-569819
Os4Zr11,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1193087
P0.4S0.6Y1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1216056
P0.95Zr1,4.6,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-930
P1,6.728571429,Other,P -1,-1,NM,EXCLUDED,mp-1198724
P12Pr1Ru4,1.8,Heavy_fermion,I m -3,m-3,NM,CANDIDATE,mp-4341
P1Pb1,7.8,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-1179841
P1Pd3,0.35,Other,P n m a,mmm,NM,EXCLUDED,mp-19879
P1Re2,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1637
P1Rh1Ta1,4.635,Other,P n m a,mmm,NM,EXCLUDED,mp-1095548
P1Rh1Zr1,1.525,Other,P n m a,mmm,NM,EXCLUDED,mp-1101753
P1Rh2,0.65,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2732
P1Ru1Ta1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1103180
P1Ru1Ti1,1.315,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-10739
P1Ru2,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-21911
P1S1Ta1,0.0,Other,I m m m,mmm,NM,EXCLUDED,mp-1077589
P1Sn1,2.0,Other,I 4 m m,4mm,NM,EXCLUDED,mp-7526
P1Ti1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-739
P1V1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1114
P1V3,0.0,Other,P 42/n,4/m,NM,EXCLUDED,mp-18350
P1W1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-2420
P1W3,2.76,Other,I -4 2 m,-42m,NM,EXCLUDED,mp-1209828
P1Zr3,4.5,Other,P 42/n,4/m,NM,EXCLUDED,mp-22447
P2Pd2Pr1,0.0,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1206418
P2Pd2Sm1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1206125
P2Pd2Tb1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1206776
P2Pd2Y1,0.96,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1207032
P2Pd2Yb1,0.0,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1206959
P2Ru2Sr1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3804
P2Ru2Y1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-568832
P2Ti1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20327
P2V1,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-9923
P2W1,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-11328
P2Zr1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1523
P3Pd7,0.85,Other,R 3,3,NM,EXCLUDED,mp-505363
P3Sn4,1.24,Other,R -3 m,-3m,NM,CANDIDATE,mp-27410
P4Re3,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1474
P4W14O50,0.39,Oxide,P 1 21/c 1,2/m,FM,EXCLUDED,mp-29182
Pa1,0.61,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186367
Pb0.28Sn0.72,7.05,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1187117
Pb0.52Tl0.48,5.54,Other,R -3 m,-3m,NM,CANDIDATE,mp-1216530
Pb0.57Sn0.43,7.45,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-972692
Pb0.5Sn0.5Te1,1.485,Other,R -3 m,-3m,NM,CANDIDATE,mp-1218924
Pb0.8Pt0.2,2.8,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-21296
Pb0.985Te1Tl0.015,1.4,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-19717
Pb1,6.4701,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-20745
Pb1.9Rh1,1.32,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-321
Pb1O2,0.0,Oxide,P 42/m n m,4/mmm,NM,EXCLUDED,mp-20725
Pb1Pd1Tl1,1.78,Other,F m m m,mmm,NM,EXCLUDED,mp-1216566
Pb1Pd2Sc1,2.4,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206369
Pb1Pd2Tb1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206368
Pb1Pd2Tm1,2.1,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206954
Pb1Pd2U1,0.0,Heavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-1206611
Pb1Pd2Y1,3.215,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-22712
Pb1Pd2Yb1,2.65,Heavy_fermion,F m -3 m,m-3m,NM,CANDIDATE,mp-865816
Pb1Pd3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20849
Pb1Pt1,7.2,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1066274
Pb1S1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-21276
Pb1Sb1,4.05,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206982
Pb1Se1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2201
Pb1Se2Ta1,3.695,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-567736
Pb1V3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30830
Pb1Zr3,0.76,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1187844
Pb2Pd0.5Rh0.5,1.7,Other,I 4 2 2,422,NM,EXCLUDED,mp-1219917
Pb2Pd1,2.98,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-20599
Pb2S1Se1,4.59,Other,R -3 m,-3m,NM,CANDIDATE,mp-1219926
Pb2S1Te1,6.03,Other,R -3 m,-3m,NM,CANDIDATE,mp-1217283
Pb3Y1,4.72,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20291
Pb3Yb1,0.23,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-21430
Pb3Zr5,4.6,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-681992
Pd0.003Pt2.997U1,0.4785,Heavy_fermion,P 63/m m c,6/mmm,FM,CANDIDATE,mp-30855
Pd0.18Ti0.82,4.73,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1079796
Pd0.3Zr0.7,2.53,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-266
Pd0.56W0.44,1.58,Other,R -3 m,-3m,NM,CANDIDATE,mp-1219935
Pd0.5Rh0.5,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1219925
Pd1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186427
Pd1.5Te2,2.21,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-564
Pd17Se15,1.1,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-21765
Pd1S1,0.0,Other,P 42/m,4/m,NM,EXCLUDED,mp-20250
Pd1Sb1Se1,1.0,Other,P 21 3,23,NM,EXCLUDED,mp-4368
Pd1Sb1Te1,1.2,Other,P 21 3,23,NM,EXCLUDED,mp-10850
Pd1Sb2,1.25,Other,P a -3,m-3,NM,CANDIDATE,mp-1356
Pd1Sc2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1190862
Pd1Se1,0.0,Other,P 42/m,4/m,NM,EXCLUDED,mp-21165
Pd1Se1Te1,0.6,Other,P 3 m 1,3m,NM,CANDIDATE,mp-1217263
Pd1Se2,0.0,Other,P b c a,mmm,NM,EXCLUDED,mp-2418
Pd1Si1,0.93,Other,P n m a,mmm,NM,EXCLUDED,mp-389
Pd1Si3Y2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1207726
Pd1Sn1,0.41,Other,P n m a,mmm,NM,EXCLUDED,mp-2369
Pd1Sn2,3.34,Other,I 41/a c d,4/mmm,NM,EXCLUDED,mp-1573
Pd1Sn4,0.0,Other,C c c a,mmm,NM,EXCLUDED,mp-2128
Pd1Th1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-30838
Pd1Th2,0.75,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1148
Pd1Tl2,1.32,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-570896
Pd1V3,0.081,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1664
Pd2.8S1,1.63,Other,P -4 21 c,-42m,NM,EXCLUDED,mp-7819
Pd2.8Se1,2.3,Other,P -4 21 c,-42m,NM,EXCLUDED,mp-7818
Pd20Zr80,2.91,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1215363
Pd2Sb2Sr1,1.25,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-8468
Pd2Sc1Sn1,2.1225,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-4897
Pd2Si2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5508
Pd2Si2Y1,0.785,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4822
Pd2Sn1,0.41,Other,P n m a,mmm,NM,EXCLUDED,mp-1851
Pd2Sn1Tb1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-5385
Pd2Sn1Tm0.75Y0.25,3.06,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3942
Pd2Sn1Yb1,2.225,Heavy_fermion,F m -3 m,m-3m,NM,CANDIDATE,mp-4053
Pd2Sr1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1558
Pd3Ta4Te16,4.38,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-510426
Pd3Te1,0.76,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-979273
Pd3Th1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-570184
Pd3Y1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-559
Pd5Th3,0.0,Other,R -3,-3,NM,CANDIDATE,mp-1105083
Pd7Se4,0.0,Other,P 21 21 2,222,NM,EXCLUDED,mp-2503
